month_period,id,masterId,propertyId,roomId,numChild,price,commission,range_booking_arrival,num_of_nights,price_per_day,year,month,year_month,used_room_nights,leftover_rooms
2024-12,62584166.176470585,57905525.12958622,158990.0,350464.0,0.0,2343651.647058824,550303.1176470588,31.352941176470587,4.470588235294118,512450.4033613445,2024,12,2024_12,92.0,63.0
2025-01,64202700.8,58167596.584170535,158990.0,350464.0,0.0,1354336.0,300733.28,16.44,4.32,337887.71428571426,2025,1,2025_01,108.0,47.0
2025-02,64705718.35294118,58658822.635446765,158990.0,350464.0,0.0,986658.588235294,226931.41176470587,33.76470588235294,3.411764705882353,303854.4068627451,2025,2,2025_02,99.0,41.0
2025-03,66964629.176470585,58793063.47075179,158990.0,350464.0,0.0,1676055.4117647058,385492.7647058824,9.823529411764708,4.117647058823529,379633.5742055443,2025,3,2025_03,69.0,86.0
2025-04,68210270.84615384,59955634.538604125,158990.0,350464.0,0.0,1283753.076923077,295263.3076923077,19.76923076923077,2.6153846153846154,492410.7692307693,2025,4,2025_04,82.0,68.0
2025-05,69707305.68965517,57980938.22776517,158990.0,350464.0,0.0,1175623.0344827587,261142.55172413797,8.03448275862069,2.2413793103448274,514741.8632183908,2025,5,2025_05,101.0,54.0
2025-06,70756295.52380952,58697593.94302485,158990.0,350464.0,0.0,1363535.1904761903,313362.9761904762,15.80952380952381,2.6904761904761907,499612.4638888889,2025,6,2025_06,138.0,12.0
2025-07,70931362.42857143,60086338.97565774,158990.0,350464.0,0.0204081632653061,1820736.9795918367,421537.1632653061,43.775510204081634,2.63265306122449,679414.6268707482,2025,7,2025_07,152.0,3.0
2025-08,71000969.02272727,58834778.06380066,158990.0,350464.0,0.0,2159070.0681818184,496586.1818181818,75.36363636363636,2.7954545454545454,748094.6856060607,2025,8,2025_08,147.0,8.0
2025-09,73776290.01886792,60602014.95486736,158990.0,350464.0,0.0,1453310.641509434,335316.641509434,41.24528301886792,2.150943396226415,679306.2955974842,2025,9,2025_09,143.0,7.0
